"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
91, 5.810513620215481e-01, 4.878261447305910e-02, 9.261231109180615e-01, 9.306397889701206e-01, -1.742648192112789e-02, 2.731860985808138e+00, 1.781587617888801e-06, 9.056431139702262e-01, 9.778863126225912e-01, 8.589755840086516e-01, -2.215574481773593e-01, 4.865144817508200e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.719108672509618e-07
92, 5.748262724815705e-01, 4.890638425623336e-02, 9.618242728337285e-01, 9.198671829497116e-01, -1.773797187780240e-02, 2.822130400334418e+00, 1.858436513837544e-06, 9.528386629030716e-01, 9.906577425997127e-01, 8.122398348261696e-01, -1.107385580373072e-01, 4.910915886089494e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.150629835819003e-07
93, 5.685712350870520e-01, 4.902509275723856e-02, 9.625356194992870e-01, 9.354389916721051e-01, -1.806934134415980e-02, 2.842921413310054e+00, 1.979552952424768e-06, 9.552796896286975e-01, 9.924616505367728e-01, 8.246293374834094e-01, -1.050068337825268e-01, 4.917356170538552e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.697821007303442e-07
94, 5.622861143332948e-01, 4.913890110981859e-02, 9.055631922333189e-01, 9.257555349729873e-01, -1.743529413063010e-02, 2.675722908850433e+00, 1.870508977614090e-06, 8.809423995887394e-01, 9.728116239090292e-01, 8.761453723134066e-01, -2.795566835992782e-01, 4.846872069949264e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.801769211985313e-07
95, 5.559707736199065e-01, 4.924796804636489e-02, 8.056629042928010e-01, 9.220028818381156e-01, -1.516482294360516e-02, 2.399747212114546e+00, 1.692783547103272e-06, 7.488132604632242e-01, 9.294374315527427e-01, 1.003375632546186e+00, -5.898063762956134e-01, 4.688645611867223e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.921211631618624e-08
96, 5.496250751073567e-01, 4.935244974921024e-02, 7.172473813408057e-01, 9.302086899165186e-01, -1.250459193671369e-02, 2.180411653536228e+00, 1.547330189034153e-06, 6.308407907025846e-01, 8.795302807844420e-01, 1.168856622756662e+00, -8.668150871076722e-01, 4.501841117461987e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.786540129282097e-08
97, 5.432488800107000e-01, 4.945249801727874e-02, 6.711808904745947e-01, 9.216107309679270e-01, -1.346022665824257e-02, 2.059422130081066e+00, 1.436151351025128e-06, 5.706187611422610e-01, 8.501713461162074e-01, 1.258742815862792e+00, -1.008221186385224e+00, 4.389435048232191e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.893642335265721e-08
98, 5.368420481262715e-01, 4.954826138732492e-02, 6.624040361260805e-01, 9.230732218818404e-01, -1.274674972175535e-02, 2.042054730234521e+00, 1.382497290014798e-06, 5.595086493883913e-01, 8.446637080603411e-01, 1.281588645265164e+00, -1.034308609494714e+00, 4.368131916141347e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.408067343322587e-08
99, 5.304044382206262e-01, 4.963988374871939e-02, 6.640015394144447e-01, 9.243912856767081e-01, -1.375705878810750e-02, 2.047285073999109e+00, 1.378734165698767e-06, 5.614783295392940e-01, 8.455979334542482e-01, 1.279643135074009e+00, -1.029683644361571e+00, 4.371750319307558e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.328162957196639e-08
100, 5.239359082125945e-01, 4.972750335710509e-02, 6.738973018302660e-01, 9.165886120122723e-01, -1.238072316311405e-02, 2.065791642051219e+00, 1.346153904570432e-06, 5.769350481704895e-01, 8.561171659295376e-01, 1.242480936450692e+00, -9.933900437435675e-01, 4.412355508911684e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.186459199202210e-08
101, 5.174363145924817e-01, 4.981125365010861e-02, 6.816940801620111e-01, 9.249980321679828e-01, -1.204495839849484e-02, 2.089865044009704e+00, 1.367756497600441e-06, 5.848754962538704e-01, 8.579735592171625e-01, 1.238189546643193e+00, -9.747452421952889e-01, 4.419495313371271e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.397004379824487e-08
102, 5.109055130060367e-01, 4.989126117811527e-02, 6.849711757456356e-01, 9.220314421263995e-01, -1.130150112436934e-02, 2.097084925339566e+00, 1.352036090346539e-06, 5.905695951358774e-01, 8.621816742770292e-01, 1.225300595362301e+00, -9.613750466425346e-01, 4.435651293461391e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.308338553771789e-08
103, 5.043433578194640e-01, 4.996764536954298e-02, 6.859202620294991e-01, 9.210123522619698e-01, -1.066135509905585e-02, 2.098691086542194e+00, 1.347952619552372e-06, 5.921073264346823e-01, 8.632305520218294e-01, 1.221500076686956e+00, -9.577643316552026e-01, 4.439672012996983e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.287687294250656e-08
104, 4.977497027556497e-01, 5.004051873036223e-02, 6.866325838786173e-01, 9.183576846292093e-01, -1.015983876051918e-02, 2.099426609645967e+00, 1.336786074221489e-06, 5.940834804335083e-01, 8.652130620974583e-01, 1.215313939774345e+00, -9.531241654139468e-01, 4.447264965927860e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.202317938165009e-08
105, 4.911244000061710e-01, 5.010998449758026e-02, 6.885762269000940e-01, 9.217271343283111e-01, -9.475433462568099e-03, 2.105818148197789e+00, 1.336804898375356e-06, 5.955366612878016e-01, 8.648812404820481e-01, 1.216553012697589e+00, -9.497119815727398e-01, 4.445994710014747e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.237659039619670e-08
106, 4.844673012656638e-01, 5.017613677527948e-02, 6.881900944068364e-01, 9.205484454299406e-01, -8.999740874596969e-03, 2.104449914773926e+00, 1.329084666052136e-06, 5.954845185885047e-01, 8.652907436887239e-01, 1.215385186747822e+00, -9.498344167641010e-01, 4.447562305638464e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.176104735362098e-08
107, 4.777782568369205e-01, 5.023906021141313e-02, 6.873485768216515e-01, 9.190092416441633e-01, -8.399422790658648e-03, 2.101568470006260e+00, 1.321612573009708e-06, 5.948573187790215e-01, 8.654376234103572e-01, 1.214728093203395e+00, -9.513071316356216e-01, 4.448124476417963e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.119404739439135e-08
108, 4.710571162445404e-01, 5.029882748377545e-02, 6.865498191020202e-01, 9.186640408505777e-01, -8.014894773638582e-03, 2.099716432800959e+00, 1.317012965776188e-06, 5.940172028264480e-01, 8.652208278248457e-01, 1.215832330403504e+00, -9.532797904892271e-01, 4.447294691195695e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.078547385388323e-08
109, 4.643037281000063e-01, 5.035549949831643e-02, 6.859925690537741e-01, 9.187436179701551e-01, -7.477380891323974e-03, 2.098180103163898e+00, 1.310795477490496e-06, 5.931627436239655e-01, 8.646780889217887e-01, 1.217301233752438e+00, -9.552861284306249e-01, 4.445216898564493e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.040803146891844e-08
110, 4.575179399335816e-01, 5.040912470780537e-02, 6.846385045741458e-01, 9.179539537459509e-01, -7.052651600838079e-03, 2.094319204868629e+00, 1.304361540897853e-06, 5.915571275709953e-01, 8.640430294509241e-01, 1.219103815307573e+00, -9.590562422020398e-01, 4.442784837067563e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.986542810084186e-08
111, 4.506995984395513e-01, 5.045973641568164e-02, 6.833390917728958e-01, 9.168630147256033e-01, -6.588568157405143e-03, 2.090609197789298e+00, 1.297652010672767e-06, 5.901927193144956e-01, 8.636893841142095e-01, 1.220215654055159e+00, -9.622599809465212e-01, 4.441430105832676e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.932579545429517e-08
112, 4.438485493445954e-01, 5.050735275822999e-02, 6.823302929556889e-01, 9.165196045457098e-01, -6.193843416807653e-03, 2.088037302637255e+00, 1.292969679823908e-06, 5.889862081029915e-01, 8.631980936265433e-01, 1.221905920724353e+00, -9.650929649126714e-01, 4.439547625352574e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.893554352945447e-08
113, 4.369646375372877e-01, 5.055197586241929e-02, 6.814229945044482e-01, 9.162402619130997e-01, -5.710576728952941e-03, 2.085476797336458e+00, 1.288078989527972e-06, 5.877861112216620e-01, 8.625862584063781e-01, 1.223589486595186e+00, -9.679108875231004e-01, 4.437202498992809e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.859798607178207e-08
114, 4.300475857564525e-01, 5.059358959476583e-02, 6.800613938216890e-01, 9.155937444128788e-01, -5.277938494690436e-03, 2.081715282626614e+00, 1.283990636564256e-06, 5.861378545966269e-01, 8.618896174987274e-01, 1.225665801855447e+00, -9.717811247378911e-01, 4.434531298536887e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.823091321110667e-08
115, 4.230965703335810e-01, 5.063216101086049e-02, 6.786358126895718e-01, 9.147771197621032e-01, -4.862276917837702e-03, 2.077841703418228e+00, 1.280661692211467e-06, 5.845122607489612e-01, 8.613047673278842e-01, 1.227558536189250e+00, -9.755981479549141e-01, 4.432287909820653e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.789429412165131e-08
116, 4.161122130583854e-01, 5.066762854969857e-02, 6.772771831707519e-01, 9.140360441507843e-01, -4.436672030191921e-03, 2.074108669990359e+00, 1.277896122204428e-06, 5.829257001971123e-01, 8.606900020875912e-01, 1.229460545350076e+00, -9.793235178991446e-01, 4.429928945746856e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.759892510548479e-08
117, 4.090943553582517e-01, 5.069991200943637e-02, 6.761562321874548e-01, 9.134073388446381e-01, -3.993672921377880e-03, 2.071001286118658e+00, 1.276476127864837e-06, 5.816146752104330e-01, 8.601779404278099e-01, 1.231015225058191e+00, -9.824019084943342e-01, 4.427963426790367e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.741129736919189e-08
118, 4.020428379080568e-01, 5.072890620455694e-02, 6.753754599045492e-01, 9.130535825567661e-01, -3.522770380684177e-03, 2.068828086031755e+00, 1.276928630356242e-06, 5.806524820669403e-01, 8.597476759801191e-01, 1.232266658409575e+00, -9.846612142694179e-01, 4.426311426794078e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.736584438943941e-08
119, 3.949575006302775e-01, 5.075448012151249e-02, 6.741171156276584e-01, 9.121333038720522e-01, -3.051379654815954e-03, 2.065235197120495e+00, 1.277946587486911e-06, 5.792537433448671e-01, 8.592776090628321e-01, 1.233657558104740e+00, -9.879455636684815e-01, 4.424506130096719e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.728966011094609e-08
120, 3.878381828768050e-01, 5.077647382773889e-02, 6.728640580812617e-01, 9.114487822421637e-01, -2.564077078525950e-03, 2.061766236047920e+00, 1.280056941859280e-06, 5.777783230702803e-01, 8.586850733532598e-01, 1.235451447034728e+00, -9.914099674314824e-01, 4.422229783365036e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.727694729835190e-08
121, 3.806847232212799e-01, 5.079469549144232e-02, 6.715423041759017e-01, 9.108812188359515e-01, -2.057825420266707e-03, 2.058206965479124e+00, 1.283285505238825e-06, 5.761773322793377e-01, 8.579911179034457e-01, 1.237610728699770e+00, -9.951692207210068e-01, 4.419562808103623e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.732884084896115e-08
122, 3.734969597393579e-01, 5.080892039765361e-02, 6.701504940565237e-01, 9.101250033986962e-01, -1.530934147624938e-03, 2.054357383787254e+00, 1.287304376238286e-06, 5.745358342432785e-01, 8.573236002043735e-01, 1.239632376764043e+00, -9.990235882331210e-01, 4.416996414162011e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.741784340426625e-08
123, 3.662747301125392e-01, 5.081888813909107e-02, 6.688697509186814e-01, 9.093247503858323e-01, -9.591967807453413e-04, 2.050784795201162e+00, 1.292019121192433e-06, 5.730692428392764e-01, 8.567725510866283e-01, 1.241311868751967e+00, -1.002467261108114e+00, 4.414877048468416e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.755189539146610e-08
124, 3.590178715221524e-01, 5.082429809702482e-02, 6.677191185648169e-01, 9.085963864234462e-01, -3.738326947293978e-04, 2.047563400172129e+00, 1.298410764631784e-06, 5.717514659359276e-01, 8.562754158737279e-01, 1.242814967934979e+00, -1.005561505738876e+00, 4.412964451092789e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.778016345441350e-08
125, 3.517262209631874e-01, 5.082480747379352e-02, 6.665719048056197e-01, 9.079174740184472e-01, 2.569429734440493e-04, 2.044356250755516e+00, 1.305405274402881e-06, 5.704130825140054e-01, 8.557412612227402e-01, 1.244411835879641e+00, -1.008704136108751e+00, 4.410908809503448e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.805320635600927e-08
126, 3.443996153729844e-01, 5.082002855142036e-02, 6.655280261387576e-01, 9.073369949497836e-01, 9.470587710754619e-04, 2.041441748724274e+00, 1.313388366971827e-06, 5.691757525750637e-01, 8.552243184667849e-01, 1.245943841752672e+00, -1.011609484889960e+00, 4.408918792575035e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.840804094021679e-08
127, 3.370378916393059e-01, 5.080952390289271e-02, 6.643358117350903e-01, 9.065423584642858e-01, 1.674504141540397e-03, 2.038095028496183e+00, 1.321957598233885e-06, 5.678264351633452e-01, 8.547280232873715e-01, 1.247450118982071e+00, -1.014777789134627e+00, 4.407007691995721e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.877657348069812e-08
128, 3.296408870854792e-01, 5.079280155958214e-02, 6.632350982795664e-01, 9.058790319158352e-01, 2.459528238401157e-03, 2.035017415686921e+00, 1.331184041839160e-06, 5.665463382493141e-01, 8.542164606772724e-01, 1.248982407729901e+00, -1.017783558163534e+00, 4.405037217471534e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.920360889650166e-08
129, 3.222084394471186e-01, 5.076931206951797e-02, 6.621038071264207e-01, 9.052575790089705e-01, 3.297989548645420e-03, 2.031895229730551e+00, 1.340553986975246e-06, 5.652131745340360e-01, 8.536624747516598e-01, 1.250667467488923e+00, -1.020913932248436e+00, 4.402902665544189e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.964740906705404e-08
