"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
86, 6.131511811008171e-01, 6.384804666290113e-02, 8.313050085100210e-01, 8.703634266059629e-01, 1.021066902551548e-02, 2.415660937484071e+00, 1.506873943489776e-06, 7.839878953912348e-01, 9.430809238072625e-01, 9.112375795329599e-01, -5.072135451506647e-01, 4.738817595486474e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 6.131857051368597e-08
87, 6.070358631979612e-01, 6.376150240878996e-02, 8.318236898771603e-01, 8.713261601609310e-01, 1.408975053327609e-02, 2.418142398118049e+00, 1.494458956217177e-06, 7.846683151168683e-01, 9.433108538093503e-01, 9.116220224325811e-01, -5.056158656972189e-01, 4.739659930792014e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.974871218980667e-08
88, 6.008906174558941e-01, 6.364789024135972e-02, 8.303011472019233e-01, 8.662257146199278e-01, 1.771004556251543e-02, 2.412875665193793e+00, 1.483534374437250e-06, 7.843337907751948e-01, 9.446377298385817e-01, 9.073806654632623e-01, -5.064013553695996e-01, 4.744518807464432e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.736507518121469e-08
89, 5.947161109500311e-01, 6.350729711707656e-02, 8.312693393968061e-01, 8.674996287154313e-01, 2.158854024333626e-02, 2.416439974901867e+00, 1.477870632416286e-06, 7.854020586720831e-01, 9.448226001478586e-01, 9.076592141401087e-01, -5.038929776648746e-01, 4.745195504466457e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.699267662480342e-08
90, 5.885124617528887e-01, 6.333982534772103e-02, 8.317890420738578e-01, 8.682926294699500e-01, 2.523232041801316e-02, 2.418809574841008e+00, 1.464918816639145e-06, 7.860911054792042e-01, 9.450606652851340e-01, 9.079090690016638e-01, -5.022750411402171e-01, 4.746066815052977e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.516371896516582e-08
91, 5.822796350232382e-01, 6.314559626452887e-02, 8.342209128644982e-01, 8.689185426771409e-01, 2.879787867260808e-02, 2.426095685228934e+00, 1.457764369417543e-06, 7.892275803848380e-01, 9.460654464712893e-01, 9.055486113664724e-01, -4.949103494297970e-01, 4.749743040403088e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.470505450286977e-08
92, 5.760175921924432e-01, 6.292475201078197e-02, 8.340171500850362e-01, 8.618113127036603e-01, 3.212059668952255e-02, 2.422291618846505e+00, 1.445065840757319e-06, 7.905628879402855e-01, 9.478976395865241e-01, 8.976228655699697e-01, -4.917749414382324e-01, 4.756441387166334e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.240293077680563e-08
93, 5.697262902608705e-01, 6.267745536381852e-02, 8.357879062282760e-01, 8.622565121147627e-01, 3.558240820566819e-02, 2.427754253368319e+00, 1.446796092194584e-06, 7.928860571849389e-01, 9.486689760361052e-01, 8.959597630583348e-01, -4.863199558914743e-01, 4.759259340340859e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.294230913736666e-08
94, 5.634056815355730e-01, 6.240389149224530e-02, 8.368602375866904e-01, 8.614623453145365e-01, 3.914456389620585e-02, 2.429920704256497e+00, 1.432087483218315e-06, 7.942445386264650e-01, 9.490766832426895e-01, 8.939569218319842e-01, -4.831301337783763e-01, 4.760748357293106e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.143737641444887e-08
95, 5.570557132832251e-01, 6.210426648272972e-02, 8.403377573681212e-01, 8.609319245995484e-01, 4.230474859050219e-02, 2.438927540643794e+00, 1.425179231628465e-06, 7.987389117772925e-01, 9.504974693495704e-01, 8.891993180354287e-01, -4.725769893460773e-01, 4.765934746236120e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.116368866589917e-08
96, 5.506763273502514e-01, 6.177880849276197e-02, 8.433710819269720e-01, 8.538016417638803e-01, 4.570306962976917e-02, 2.443086533149757e+00, 1.409379636844626e-06, 8.038670340960765e-01, 9.531593521790730e-01, 8.776327422529081e-01, -4.605357516293872e-01, 4.775640877382067e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.964772353208011e-08
97, 5.442674607364908e-01, 6.142776825089465e-02, 8.461002061585166e-01, 8.524656317767308e-01, 4.782805751708499e-02, 2.450463704575084e+00, 1.423407682744911e-06, 8.078689710573643e-01, 9.548147668291790e-01, 8.727984501576521e-01, -4.511388864061135e-01, 4.781670055026103e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.067528749997860e-08
98, 5.378290435780642e-01, 6.105141798507744e-02, 8.481537347540444e-01, 8.537414955654298e-01, 5.170988300010149e-02, 2.456332068316625e+00, 1.406961781342820e-06, 8.100290881401870e-01, 9.550498393726780e-01, 8.721073237892651e-01, -4.460667602606671e-01, 4.782525775511201e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.955371130666539e-08
99, 5.313610014769092e-01, 6.065005304943211e-02, 8.497361606909706e-01, 8.526465274786492e-01, 5.412673091690925e-02, 2.460026367296968e+00, 1.398510757817302e-06, 8.122076185303805e-01, 9.558350651688480e-01, 8.691660133917493e-01, -4.409513982098701e-01, 4.785383400694921e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.812843906880700e-08
100, 5.248632511522132e-01, 6.022399120898981e-02, 8.508290475334227e-01, 8.503130721338398e-01, 5.752353378918489e-02, 2.462120805250978e+00, 1.390087019985172e-06, 8.141110207148853e-01, 9.568444131932448e-01, 8.654527730359136e-01, -4.364820589957609e-01, 4.789054886872030e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.782166213416324e-08
101, 5.183357050726948e-01, 5.977357266466779e-02, 8.497266772323954e-01, 8.447138129159119e-01, 5.928139345278799e-02, 2.457287129543116e+00, 1.381444919664944e-06, 8.141415912963146e-01, 9.581217267981003e-01, 8.604444422748589e-01, -4.364102768471996e-01, 4.793698237380623e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.509739365124932e-08
102, 5.117782680495199e-01, 5.929916107478337e-02, 8.519946566824238e-01, 8.480639426925635e-01, 6.291575210714721e-02, 2.464544776350319e+00, 1.380745000615517e-06, 8.160584321005762e-01, 9.578210681252632e-01, 8.619406682562846e-01, -4.319093826886066e-01, 4.792605555682006e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.632215680321677e-08
103, 5.051908378978245e-01, 5.880114280499706e-02, 8.565558613924447e-01, 8.481774669136072e-01, 6.547078398599300e-02, 2.477212186442495e+00, 1.373760873352926e-06, 8.219078185425513e-01, 9.595495817475719e-01, 8.568864949974849e-01, -4.181745596352226e-01, 4.798885072534435e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.612243002749919e-08
104, 4.985733052791815e-01, 5.827992709873958e-02, 8.616821764271608e-01, 8.492451384227296e-01, 6.891941376658829e-02, 2.491801672895515e+00, 1.374311143715858e-06, 8.282206791180987e-01, 9.611672398194363e-01, 8.524087305226393e-01, -4.033514625760807e-01, 4.804756588329164e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.797292765215700e-08
105, 4.919255574042695e-01, 5.773594719807275e-02, 8.610440388612784e-01, 8.425578269484127e-01, 6.946863640473605e-02, 2.488372372596580e+00, 1.370121734995901e-06, 8.293343084538862e-01, 9.631729284725924e-01, 8.455306655230852e-01, -4.007365726169665e-01, 4.812029451947508e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.519106492404648e-08
106, 4.852474612934969e-01, 5.716965819880064e-02, 8.620125564793270e-01, 8.438228194516475e-01, 7.262522494364032e-02, 2.490985162691202e+00, 1.368297930816866e-06, 8.299669362524830e-01, 9.628246479868853e-01, 8.462577305561411e-01, -3.992511123967244e-01, 4.810767106029995e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.581541869009935e-08
107, 4.785388928379392e-01, 5.658153976656452e-02, 8.634831119018560e-01, 8.423978884098920e-01, 7.493033702179720e-02, 2.494433305464722e+00, 1.355049424304605e-06, 8.321073704272536e-01, 9.636637462364538e-01, 8.432336514313284e-01, -3.942252032796712e-01, 4.813808026348981e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.424678911761621e-08
