"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
160, 1.266949765738098e-01, -4.290362719375650e-02, 1.003057705288501e+00, 9.035469638674213e-01, -1.311220071255242e-01, 2.931594249313188e+00, 1.006427900972590e+00, 1.003359922032720e+00, 7.679942387385934e-01, 1.509322103078240e-02
161, 1.349370154257646e-01, -4.406785853380754e-02, 9.972311060599349e-01, 9.079666611997640e-01, -1.250383367389665e-01, 2.916876629193657e+00, 9.982765560741499e-01, 1.001048352791908e+00, 7.763581475978927e-01, -4.046782957288698e-03
162, 1.431480111345481e-01, -4.516940618219863e-02, 9.923216805711741e-01, 9.118932304258097e-01, -1.193982570052841e-01, 2.904538285913489e+00, 9.913453500317572e-01, 9.990161148763222e-01, 7.836685760494029e-01, -2.032180418954362e-02
163, 1.513267543898643e-01, -4.621387930283587e-02, 9.876497193539607e-01, 9.154602608144131e-01, -1.141538850054696e-01, 2.892783203637678e+00, 9.847650122429957e-01, 9.970792204417860e-01, 7.906024256510777e-01, -3.577295894854015e-02
164, 1.594726382627943e-01, -4.720504834055866e-02, 9.830339471550750e-01, 9.187343524977363e-01, -1.091823295101721e-01, 2.881132615137126e+00, 9.782996317167247e-01, 9.951839756378186e-01, 7.973537406684214e-01, -5.095418494241400e-02
165, 1.675851933898350e-01, -4.814604590232088e-02, 9.785525739668735e-01, 9.217664825169358e-01, -1.044348171951069e-01, 2.869806692978956e+00, 9.720383962181715e-01, 9.933430477605361e-01, 8.038828953892930e-01, -6.565606222839430e-02
166, 1.756640522355140e-01, -4.903952746118333e-02, 9.742282828917275e-01, 9.245821937409953e-01, -9.987667691744109e-02, 2.858867156895000e+00, 9.660058082100902e-01, 9.915600123440974e-01, 8.101781252212780e-01, -7.982105708159536e-02
167, 1.837089222127677e-01, -4.988780605529227e-02, 9.700369115182050e-01, 9.272124766896966e-01, -9.548238270076524e-02, 2.848255887832044e+00, 9.601669321362974e-01, 9.898251507084819e-01, 8.162784829124502e-01, -9.353120095731797e-02
168, 1.917187535304286e-01, -5.069282465201876e-02, 9.659508862426165e-01, 9.296690443012948e-01, -9.122373287282458e-02, 2.837898819857807e+00, 9.544865115818819e-01, 9.881315139061273e-01, 8.222099615252375e-01, -1.068692787125907e-01
169, 1.996941050086617e-01, -5.145636745535628e-02, 9.619659938139105e-01, 9.319669816656078e-01, -8.708345051621050e-02, 2.827786797183983e+00, 9.489573478432404e-01, 9.864770209609025e-01, 8.279822235170605e-01, -1.198521934741234e-01
170, 2.076349245010437e-01, -5.218005241984925e-02, 9.580773350572143e-01, 9.341167959981852e-01, -8.306423767488724e-02, 2.817908238314021e+00, 9.435718828236300e-01, 9.848598315576289e-01, 8.336037706678765e-01, -1.324976922522072e-01
171, 2.155410818676431e-01, -5.286553677817261e-02, 9.542600324089137e-01, 9.361484619631293e-01, -7.917441928088829e-02, 2.808202722460474e+00, 9.382911488153080e-01, 9.832656895906096e-01, 8.391241698356400e-01, -1.448972743136378e-01
172, 2.234124685137211e-01, -5.351444695820883e-02, 9.504606263817973e-01, 9.380909580941292e-01, -7.540122261208554e-02, 2.798536260759966e+00, 9.330417150594634e-01, 9.816731899893172e-01, 8.446206715856089e-01, -1.572233609010440e-01
173, 2.312490164172838e-01, -5.412811576586050e-02, 9.466273854718932e-01, 9.399650398265506e-01, -7.170109943642458e-02, 2.788773429252298e+00, 9.277532730722031e-01, 9.800617300013128e-01, 8.501621443494323e-01, -1.696410419080420e-01
174, 2.390507098021216e-01, -5.470735937906853e-02, 9.427374270321625e-01, 9.417644187741477e-01, -6.803125585452316e-02, 2.778852389783617e+00, 9.224005979139044e-01, 9.784278967450347e-01, 8.557625950842999e-01, -1.822095474924759e-01
