"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
215, 5.290206298106715e-01, -4.340714246881001e-02, 9.313746256641718e-01, 9.277041658018271e-01, 8.477087050195894e-02, 2.745530802149384e+00, 9.118595695996742e-01, 9.790470391540017e-01, 8.543285279887395e-01, -2.069607175737903e-01
216, 5.353937173363218e-01, -4.281946428767917e-02, 9.336265794753170e-01, 9.253382722624843e-01, 8.687790218140279e-02, 2.750836664375925e+00, 9.152930855317344e-01, 9.803631405246778e-01, 8.497194470845306e-01, -1.988985499865351e-01
217, 5.417347125946018e-01, -4.221541467226168e-02, 9.371934273562331e-01, 9.265480428282011e-01, 8.985240817179124e-02, 2.761085144739362e+00, 9.195064419675009e-01, 9.811277108092550e-01, 8.475093177049264e-01, -1.890052550777193e-01
218, 5.480437614482178e-01, -4.159549572814802e-02, 9.399556631376675e-01, 9.229593998192099e-01, 9.233770229295517e-02, 2.767796309766985e+00, 9.240502497911103e-01, 9.830785493717188e-01, 8.411621716361453e-01, -1.783360341149847e-01
219, 5.543210097098457e-01, -4.096022257752691e-02, 9.446274847447841e-01, 9.217127909005380e-01, 9.521302652372751e-02, 2.780007014202281e+00, 9.302126284532307e-01, 9.847401684533370e-01, 8.354396350411238e-01, -1.638662805174445e-01
220, 5.605666097007042e-01, -4.031012349342156e-02, 9.473289949049096e-01, 9.191119969922200e-01, 9.697503062260447e-02, 2.786436094810273e+00, 9.342419400963565e-01, 9.861853116721434e-01, 8.302871250946328e-01, -1.544051373711925e-01
221, 5.667807213804045e-01, -3.964574128171063e-02, 9.512750139236759e-01, 9.199327882317461e-01, 9.986161937228005e-02, 2.797480744830665e+00, 9.389710285086608e-01, 9.870657956585389e-01, 8.274786513855791e-01, -1.433008628987959e-01
222, 5.729635032631007e-01, -3.896762907210425e-02, 9.531295315594139e-01, 9.152070610567443e-01, 1.020385847891485e-01, 2.801504614798989e+00, 9.426583850750955e-01, 9.890139313308374e-01, 8.210787893925685e-01, -1.346426573797889e-01
223, 5.791151092772172e-01, -3.827635485388543e-02, 9.582260616663958e-01, 9.139675769351789e-01, 1.048322158547159e-01, 2.815125969195806e+00, 9.494059487454102e-01, 9.907953735826731e-01, 8.151640059115230e-01, -1.187988429947164e-01
224, 5.852357543746758e-01, -3.757249083506323e-02, 9.610376097653147e-01, 9.109079610209799e-01, 1.059768065623631e-01, 2.821798581802454e+00, 9.537035148349116e-01, 9.923685661665269e-01, 8.095675048449096e-01, -1.087078171435344e-01
225, 5.913255680269373e-01, -3.685662838726387e-02, 9.658371285163416e-01, 9.120688322738366e-01, 1.085919919004195e-01, 2.835370582072395e+00, 9.594476025464505e-01, 9.933844684768887e-01, 8.064131279932309e-01, -9.522024385636690e-02
226, 5.973847457360980e-01, -3.612936463787356e-02, 9.678704669603991e-01, 9.071559442151604e-01, 1.104972918523703e-01, 2.839615181396655e+00, 9.632730708729357e-01, 9.952499882531786e-01, 7.998944826686507e-01, -8.623774097648236e-02
227, 6.034134722509226e-01, -3.539130469182027e-02, 9.735483954742741e-01, 9.058436388351603e-01, 1.126416980106134e-01, 2.854607759284685e+00, 9.706670524723910e-01, 9.970403700367876e-01, 7.936103843386433e-01, -6.887608605149090e-02
228, 6.094119343963468e-01, -3.464306458739261e-02, 9.757638840414170e-01, 9.024272157794073e-01, 1.135349224381446e-01, 2.859406223063287e+00, 9.741999399401241e-01, 9.983972105066901e-01, 7.884277539731727e-01, -6.058058622117941e-02
229, 6.153803247103361e-01, -3.388526807855739e-02, 9.807248990522709e-01, 9.034811211795719e-01, 1.158882850365624e-01, 2.873327319096495e+00, 9.801278755414390e-01, 9.993912426293970e-01, 7.852061818971596e-01, -4.666132351498311e-02
230, 6.213188404671538e-01, -3.311854462879815e-02, 9.810693789133489e-01, 8.980564130514000e-01, 1.176248628856841e-01, 2.873182515645150e+00, 9.820389763263035e-01, 1.000988306672081e+00, 7.798641375204125e-01, -4.217390737695230e-02
